,annual_return,annual_vol,sharpe_ratio,max_drawdown,positive_weeks
INOXWIND.NS,0.4518611738533605,0.5713347930293223,0.6805960902468873,-0.6883305898229373,0.4904214559386973
ONGC.NS,0.30188672190954724,0.2735134413950227,0.8733529628219032,-0.30887374200286954,0.5593869731800766
LEMONTREE.NS,0.2868441448433989,0.39306672873862225,0.5694483429470083,-0.42344754846582,0.524904214559387
PATANJALI.NS,0.22804115663023894,0.40698238976992285,0.40549226031117525,-0.3745370728956202,0.46360153256704983
PIDILITIND.NS,0.09328968267720504,0.20950755650804304,0.1445138098417636,-0.26583927170310606,0.5287356321839081
CGPOWER.NS,0.5413270102206207,0.4101803338594734,1.1661067663202511,-0.3588619612523427,0.5057471264367817
IGL.NS,-0.03899925062848804,0.3359383009854163,-0.30366349363809436,-0.4465279667373221,0.4827586206896552
INDHOTEL.NS,0.39355247703461427,0.335631346645099,0.9848291372156663,-0.3300892746446511,0.578544061302682
HINDALCO.NS,0.24774040601028824,0.3119820560962163,0.5921092412370297,-0.48241536534049145,0.5747126436781609
SRF.NS,0.18556028333823496,0.2628579268062911,0.4662113002700316,-0.24973480841917306,0.5555555555555556
J&KBANK.NS,0.3821798488173457,0.41601572345256255,0.7671991305351478,-0.4521738334013081,0.5057471264367817
RPOWER.NS,0.5169171427191356,0.6434063084013987,0.7054705390615651,-0.6913847891401,0.4674329501915709
GMDCLTD.NS,0.6242270767890326,0.551729262941205,1.01719116057335,-0.47635703426561293,0.524904214559387
GSPL.NS,0.03925824920366379,0.3404528842221633,-0.06977382008731697,-0.46012165583659503,0.4559386973180077
BEML.NS,0.30509663499549594,0.4634240598083886,0.5223804901282009,-0.5121503712617508,0.5210727969348659
ZYDUSLIFE.NS,0.17409270142157518,0.259059548201634,0.4287807752969955,-0.49218156010009817,0.5287356321839081
JKCEMENT.NS,0.16468816598021055,0.3050618113959627,0.3332938266489523,-0.44522698230392155,0.5210727969348659
RBLBANK.NS,0.16811523730088432,0.43946399665538144,0.23916018287093987,-0.6282256058490252,0.5325670498084292
MUTHOOTFIN.NS,0.24782510499925786,0.2836251825048404,0.6516070113080126,-0.44247389268995196,0.5632183908045977
HINDZINC.NS,0.2762175142312096,0.3876703781699789,0.5499635224699532,-0.4542999275244276,0.524904214559387
ABBOTINDIA.NS,0.15241140785865034,0.2306460476405761,0.38760022674385447,-0.2799296015521314,0.48659003831417624
PNBHOUSING.NS,0.313776711284338,0.5784976264389735,0.43347414462590234,-0.621597451446994,0.5019157088122606
GLAXO.NS,0.16575494125954565,0.30333949602714605,0.3387029882675154,-0.34309223867634164,0.4789272030651341
LODHA.NS,0.31728108340109984,0.5068527543728983,0.5016607559331564,-0.5613430237200756,0.49808429118773945
IRFC.NS,0.4074190154643296,0.4727583014881023,0.7285034802871841,-0.5627567534386037,0.47126436781609193
MCX.NS,0.5011373450052091,0.38936427820531755,1.1252300789611482,-0.4434047163819923,0.5593869731800766
LAURUSLABS.NS,0.2691031761970182,0.33648926592759376,0.6124719257635273,-0.5834971694665636,0.524904214559387
RELIANCE.NS,0.10052492535348535,0.2165467460216118,0.17322808376050322,-0.24584818752599746,0.5402298850574713
EMAMILTD.NS,0.021480829715850063,0.2998734317967021,-0.13849882442368425,-0.5091580684582127,0.47126436781609193
FLUOROCHEM.NS,0.42443705072853793,0.44002757114885716,0.8213669481876226,-0.36700009709545034,0.5210727969348659
SONACOMS.NS,0.1260463281741009,0.34889113718078124,0.18066776126173245,-0.4912272636566808,0.48659003831417624
ABB.NS,0.35413672601459495,0.33257729368919065,0.8753567487715346,-0.47465521286757884,0.5287356321839081
HEROMOTOCO.NS,0.17388071551513717,0.2634700791883719,0.42079832503591963,-0.3983787808332625,0.5134099616858238
ANGELONE.NS,0.6136066335861678,0.6011109105659008,0.9159602269941101,-0.4811264453468652,0.49808429118773945
HEG.NS,0.23210377113091865,0.4772750084027807,0.3542838419325547,-0.6127266908064529,0.48659003831417624
JBMA.NS,0.49524321444523456,0.4944979104442797,0.8740790563934027,-0.5506947118238587,0.4942528735632184
NTPC.NS,0.3065779625556129,0.2445213761418451,0.9960888446772581,-0.30291440506750344,0.5747126436781609
BAJAJHLDNG.NS,0.2588719390319623,0.30191026193243964,0.6487324752816839,-0.3648007255699238,0.5172413793103449
